game,platform,developer,genre,number_players,rating,release_date,metascore,user_score
Portal 2,PC,Valve Software,Action,,E10+,18-Apr-11,95,90
The Elder Scrolls V: Skyrim,PC,Bethesda Game Studios,Role-Playing,No Online Multiplayer,M,10-Nov-11,94,82
The Legend of Zelda: Ocarina of Time 3D,3DS,GREZZO,Miscellaneous,No Online Multiplayer,E10+,19-Jun-11,94,90
Batman: Arkham City,PC,Rocksteady Studios,Action Adventure,,T,21-Nov-11,91,87
Super Mario 3D Land,3DS,Nintendo,Action,No Online Multiplayer,E,13-Nov-11,90,84
Deus Ex: Human Revolution,PC,Nixxes Software,Action,No Online Multiplayer,M,23-Aug-11,90,85
Pushmo,3DS,Intelligent Systems,Miscellaneous,1 Player,E,8-Dec-11,90,83
Total War: Shogun 2,PC,Creative Assembly,Strategy,Online Multiplayer,T,15-Mar-11,90,84
FIFA Soccer 12,PC,Electronic Arts,Sports,,E,27-Sep-11,89,71
Battlefield 3,PC,EA DICE,Action,,M,25-Oct-11,89,76
LIMBO,PC,PLAYDEAD,Action,No Online Multiplayer,T,2-Aug-11,88,81
Assassin's Creed: Brotherhood,PC,Ubisoft Montreal,Action Adventure,,M,22-Mar-11,88,82
The Witcher 2: Assassins of Kings,PC,CD Projekt Red Studio,Role-Playing,No Online Multiplayer,M,17-May-11,88,85
Dead Space 2,PC,Visceral Games,Action,,M,25-Jan-11,87,84
Bastion,PC,Supergiant Games,Action,No Online Multiplayer,E10+,16-Aug-11,86,85
Crysis 2,PC,Crytek,Action,,M,22-Mar-11,86,68
DiRT 3,PC,Codemasters,Driving,,T,23-May-11,86,70
Battlefield 3: Back to Karkand,PC,EA DICE,Action,,M,13-Dec-11,86,72
Super Street Fighter IV: 3D Edition,3DS,Capcom,Action,,T,27-Mar-11,85,80
Frozen Synapse,PC,Mode 7 Games,Strategy,2,,26-May-11,85,76
Mario Kart 7,3DS,"Retro Studios, Entertainment Analysis & Development Division",Driving,Up to 8 ,E,4-Dec-11,85,83
Star Wars: The Old Republic,PC,"LucasArts, BioWare",Sci-Fi,Massively Multiplayer,T,20-Dec-11,85,59
Saints Row: The Third,PC,Volition Inc.,Action Adventure,2,M,14-Nov-11,84,81
SpaceChem,PC,Zachtronics Industries,Miscellaneous,No Online Multiplayer,,2-Mar-11,84,85
Super Street Fighter IV: Arcade Edition,PC,"Capcom, QLOC",Action,,T,7-Jul-11,84,77
Football Manager 2012,PC,Sports Interactive,Sports,,E,20-Oct-11,84,79
Unity of Command,PC,2x2 Games,Strategy,,,15-Nov-11,84,71
The Binding of Isaac,PC,"Edmund McMillen, Florian Himsl",Action,No Online Multiplayer,,28-Sep-11,84,84
Trine 2,PC,"Frozenbyte, Inc.",Action,,E10+,7-Dec-11,84,84
Rift,PC,Trion Worlds,Role-Playing,Online Multiplayer,T,1-Mar-11,84,73
Shift 2: Unleashed,PC,Slightly Mad Studios,Driving,,E10+,29-Mar-11,84,62
Anno 2070,PC,"Blue Byte, Related Designs",Strategy,Online Multiplayer,T,17-Nov-11,83,71
Orcs Must Die!,PC,Robot Entertainment,Action,No Online Multiplayer,T,11-Oct-11,83,81
Terraria,PC,Re-Logic,Action,Up to 8 ,T,16-May-11,83,86
L.A. Noire: The Complete Edition,PC,Rockstar Leeds,Action Adventure,No Online Multiplayer,M,8-Nov-11,83,79
VVVVVV,3DS,Terry Cavanagh,Action,1 Player,E,29-Dec-11,83,80
F1 2011,PC,Codemasters,Driving,,E,19-Sep-11,83,71
The Book of Unwritten Tales,PC,KING Art,Adventure,,T,28-Oct-11,82,83
Cave Story 3D,3DS,Nicalis,Action,No Online Multiplayer,E10+,8-Nov-11,82,82
Gemini Rue,PC,"Wadjet Eye Games, Joshua Nuernberger",Adventure,,,24-Feb-11,82,84
Dragon Age II,PC,BioWare,Role-Playing,No Online Multiplayer,M,8-Mar-11,82,45
Skylanders: Spyro's Adventure,3DS,Vicarious Visions,Action,,E10+,16-Oct-11,82,50
Monday Night Combat,PC,Uber Entertainment,Action,1 Player,T,24-Jan-11,82,73
Bulletstorm,PC,"Epic Games, People Can Fly",General,,M,21-Feb-11,82,77
Fallout: New Vegas - Old World Blues,PC,Obsidian Entertainment,Role-Playing,,M,19-Jul-11,82,77
To the Moon,PC,Freebird Games,Role-Playing,No Online Multiplayer,,1-Nov-11,81,89
Star Fox 64 3D,3DS,Nintendo,Action,4  Online,E10+,9-Sep-11,81,81
Rochard,PC,Recoil Games,Action,,T,15-Nov-11,81,79
Jamestown: Legend of the Lost Colony,PC,"Final Form Games, LLC",Action,,,8-Jun-11,81,75
TrackMania 2 Canyon,PC,Nadeo,Driving,,E,14-Sep-11,81,77
Dungeon Defenders,PC,Trendy Entertainment,Role-Playing,,E10+,18-Oct-11,81,73
Anomaly: Warzone Earth,PC,11 bit studios,Strategy,,E10+,8-Apr-11,80,73
Dead Island,PC,Techland,Action Adventure,4  Online,M,5-Sep-11,80,69
Assassin's Creed: Revelations,PC,Ubisoft Montreal,Action Adventure,,M,29-Nov-11,80,74
World of Tanks,PC,Wargaming.net,First-Person,,T,12-Apr-11,80,36
"Warhammer 40,000: Dawn of War II - Retribution",PC,Relic,Strategy,,M,28-Feb-11,80,77
Panzer Corps,PC,The Lordz Games Studio,Strategy,1月2日,,11-Jul-11,80,75
Driver: San Francisco,PC,Ubisoft Reflections,Driving,,T,27-Sep-11,80,71
CAPSIZED,PC,Alientrap,Action,No Online Multiplayer,,29-Apr-11,80,72
Dead or Alive: Dimensions,3DS,Team Ninja,Action,2  Online,T,24-May-11,79,81
Runaway: A Twist of Fate,PC,Pendulo Studios,Adventure,1 Player,T,21-Apr-11,79,79
Bloodline Champions,PC,Stunlock Studios,Action,,,13-Jan-11,79,77
Dungeons of Dredmor,PC,Gaslamp Games,Role-Playing,,,13-Jul-11,79,77
Rage,PC,id Software,Action,Up to 4 ,M,3-Oct-11,79,53
The Sims 3: Pets,PC,The Sims Studio,Simulation,,T,18-Oct-11,79,61
Mighty Switch Force!,3DS,WayForward,Action,1 Player,E10+,22-Dec-11,79,78
Two Worlds II: Pirates of the Flying Fortress,PC,Reality Pump,Role-Playing,,M,30-Sep-11,78,75
Call of Duty: Modern Warfare 3,PC,"Infinity Ward, Sledgehammer Games",Action,,M,8-Nov-11,78,27
Shin Megami Tensei: Devil Survivor Overclocked,3DS,Atlus,Role-Playing,No Online Multiplayer,T,23-Aug-11,78,43
Tropico 4,PC,"Haemimont, Haemimont Games",Strategy,No Online Multiplayer,T,30-Aug-11,78,78
Tom Clancy's Ghost Recon: Shadow Wars,3DS,Ubisoft,Action,,T,22-Mar-11,77,79
Sonic Generations,PC,Sega,Action,No Online Multiplayer,E,3-Nov-11,77,83
Men of War: Assault Squad,PC,"THQ, 1C, 1C Company",Strategy,,T,25-Feb-11,77,80
3D Classics: Kirby's Adventure,3DS,Arika,Action,1 Player,E,17-Nov-11,77,79
Section 8: Prejudice,PC,TimeGate Studios,Action,No Online Multiplayer,T,4-May-11,77,77
Might & Magic: Heroes VI,PC,Black Hole Games,Role-Playing,,T,13-Oct-11,77,60
Pro Evolution Soccer 2012,PC,Konami,Sports,,,27-Sep-11,77,65
Xenonauts,PC,"Gamethunks, Goldhawk Interactive",General,No Online Multiplayer,,4-Nov-11,77,79
Magic: The Gathering - Duels of the Planeswalkers 2012,PC,Stainless Games,Strategy,,T,15-Jun-11,77,58
The Sims Medieval,PC,The Sims Studio,Simulation,No Online Multiplayer,T,22-Mar-11,77,60
Hamilton's Great Adventure,PC,Fatshark AB,Adventure,No Online Multiplayer,E,31-May-11,77,74
From Dust,PC,Ubisoft Montpellier,Strategy,1 Player,E10+,17-Aug-11,76,49
